accuracy,precision,recall,f1-score,auc,mcc,hospital,method,n_calib,n_test,pca_var,n_features
0.7569060773480663,0.7782258064516129,0.8539823008849557,0.8143459915611815,0.8320536179073399,0.4687521238934127,PUS,raw,30,362,0.9,132
0.7285714285714285,0.7560975609756098,0.775,0.7654320987654321,0.7925000000000001,0.44370499649390127,SL2,raw,30,140,0.9,132
0.7658712291760468,0.8632378725891292,0.8377765173000568,0.8503166378814048,0.7717232189078264,0.31441980696283756,SLU,raw,30,2221,0.9,130
0.7587628865979381,0.6823529411764706,0.6480446927374302,0.664756446991404,0.826103625807865,0.4769330731761697,SRK,raw,30,485,0.9,132
0.6141697740732617,0.928538283062645,0.5549084858569051,0.69467106405138,0.764039938100135,0.32033715990408546,STG1,raw,30,4559,0.9,132
0.6409299655568312,0.5395290815530953,0.812206572769953,0.648365033261501,0.7773652357729495,0.3383665555732488,SZC,raw,30,10452,0.9,117
0.6161616161616161,0.46277665995975853,0.6705539358600583,0.5476190476190477,0.6872130172448755,0.24542302394349094,TER_L,raw,30,990,0.9,134
0.5086021505376344,0.3087557603686636,0.9663461538461539,0.4679860302677532,0.867049328787556,0.3119606748040076,TOR,raw,30,930,0.9,132
0.5909387222946545,0.8874269005847953,0.5244060475161987,0.6592451805593267,0.7234027174240403,0.2769537135977258,WLU,raw,30,3068,0.9,130
0.6550612508059317,0.774081774081774,0.600214938205266,0.6761501210653753,0.7168128526465241,0.3315177698512087,Z04O,raw,30,3102,0.9,129
0.8097306689834927,0.8308525033829499,0.867231638418079,0.848652384243262,0.891580900638941,0.5938154361706491,ZOZLO,raw,30,1151,0.9,132
0.7851500789889415,0.9159663865546218,0.8195488721804511,0.8650793650793651,0.8370431028065213,0.35910885937177367,AKS,raw,30,1266,0.8,54
0.763303950375449,0.5458768873403019,0.5845771144278606,0.5645645645645646,0.7753133403368284,0.40275131184329177,ARCHDAM,raw,30,3063,0.8,73
0.7068856601389766,0.4294820717131474,0.7177097203728362,0.5373878364905285,0.7818698602002023,0.36630681096423434,B2K,raw,30,3166,0.8,54
0.4924698795180723,0.9562289562289562,0.46710526315789475,0.6276243093922652,0.7127584586466166,0.13132062078149803,CHE,raw,30,664,0.8,54
0.7699530516431925,0.7415730337078652,0.46808510638297873,0.5739130434782609,0.8376508647505289,0.4483972963598686,CMD,raw,30,426,0.8,54
0.5025659824046921,0.9683219178082192,0.4614443084455324,0.6250345399281569,0.7334956482803012,0.2001381584142196,GAK,raw,30,2728,0.8,53
0.5846422338568935,0.4383561643835616,0.8290155440414507,0.5734767025089605,0.7709435505863104,0.28457956606062373,KAL,raw,30,573,0.8,54
0.59958071278826,0.36453458138325534,0.8590686274509803,0.5118656443957649,0.796617200189628,0.3258326735324709,KATMOJPRZ,raw,30,3339,0.8,56
0.751219512195122,0.7642857142857142,0.856,0.8075471698113208,0.8275999999999998,0.46491432508617075,KIEG,raw,30,205,0.8,54
0.6681585677749361,0.7731958762886598,0.5898876404494382,0.6692160611854685,0.7393891908111893,0.3610836062944656,KLU,raw,30,1564,0.8,54
0.6988906497622821,0.6928571428571428,0.6510067114093959,0.671280276816609,0.7852147449462886,0.39465004632848855,KUD,raw,30,631,0.8,54
0.6720554272517321,0.5057915057915058,0.903448275862069,0.6485148514851485,0.8376436781609196,0.44184714132723646,LUMICE,raw,30,433,0.8,55
0.7147766323024055,0.71125,0.6191512513601741,0.6620127981384526,0.7800839366115071,0.42034584667771474,LUX_A,raw,30,2037,0.8,54
0.7176938369781312,0.7103825136612022,0.8783783783783784,0.7854984894259819,0.8097662880271577,0.4049192329660297,MKW,raw,30,503,0.8,54
0.7386363636363636,0.803921568627451,0.8497409326424871,0.8261964735516373,0.7748668174852223,0.3029915110139019,MOR,raw,30,264,0.8,54
0.7222222222222222,0.603448275862069,0.8810068649885584,0.7162790697674418,0.870489550192656,0.4943135520323464,OST,raw,30,1098,0.8,54
0.7345454545454545,0.6395193591455274,0.740340030911901,0.6862464183381088,0.820103830702637,0.4620152313144359,OTW,raw,30,1650,0.8,54
0.4685714285714286,0.9334470989761092,0.4719585849870578,0.6269340974212034,0.47806363897822046,-0.053762659275330874,PIO,raw,30,1225,0.8,54
0.7253787878787878,0.6755447941888619,0.7696551724137931,0.7195357833655706,0.8148609048211634,0.4564447030306962,PRZ,raw,30,1584,0.8,53
0.7707182320441989,0.782608695652174,0.8761061946902655,0.826722338204593,0.8425950026028111,0.4979788662426737,PUS,raw,30,362,0.8,54
0.7357142857142858,0.7721518987341772,0.7625,0.7672955974842768,0.8139583333333333,0.4615873439722721,SL2,raw,30,140,0.8,54
0.7631697433588474,0.8710257948410318,0.8235961429381735,0.8466472303206997,0.765932176941349,0.33116193886994155,SLU,raw,30,2221,0.8,53
0.7608247422680412,0.6842105263157895,0.6536312849162011,0.6685714285714286,0.8126483368021322,0.4819356057810731,SRK,raw,30,485,0.8,54
0.6040798420706295,0.9277909738717339,0.5415973377703827,0.6839432673787428,0.7600606194991559,0.31165504986153086,STG1,raw,30,4559,0.8,54
0.644374282433984,0.5429928741092637,0.8049295774647888,0.6485106382978724,0.7696014697140638,0.3404795464500866,SZC,raw,30,10452,0.8,46
0.602020202020202,0.45321100917431195,0.7201166180758017,0.5563063063063063,0.6883170137120868,0.24826032844988039,TER_L,raw,30,990,0.8,55
0.5,0.30618401206636503,0.9759615384615384,0.4661308840413318,0.8871990198167483,0.3120941674376404,TOR,raw,30,930,0.8,55
0.5893089960886571,0.8892988929889298,0.5205183585313174,0.6566757493188011,0.7227802970981444,0.27845555645242465,WLU,raw,30,3068,0.8,53
0.6366860090264346,0.7489823609226595,0.5932294465341215,0.6620689655172414,0.6948825742010937,0.2894856346024827,Z04O,raw,30,3102,0.8,53
0.8053866203301477,0.8497109826589595,0.8305084745762712,0.84,0.8945715524607517,0.5919974946725619,ZOZLO,raw,30,1151,0.8,54
0.8175355450236966,0.9055501460564752,0.8740601503759399,0.8895265423242468,0.8288822303282961,0.3685586023322389,AKS,sitewise,30,1266,none,2850
0.7411034933072151,0.5052034058656575,0.664179104477612,0.5738850080601827,0.7834163621908167,0.4004337406100356,ARCHDAM,sitewise,30,3063,none,2850
0.6828806064434618,0.419065898912348,0.8721704394141145,0.5661192739844425,0.8383224024282323,0.42216057214340874,B2K,sitewise,30,3166,none,2850
0.5451807228915663,0.9608433734939759,0.524671052631579,0.6787234042553192,0.7285303101503761,0.16258311928577251,CHE,sitewise,30,664,none,2850
0.755868544600939,0.5958549222797928,0.8156028368794326,0.688622754491018,0.8492970013686698,0.5122824168497694,CMD,sitewise,30,426,none,2850
0.6946480938416423,0.949944382647386,0.696858425132599,0.8039538714991763,0.7657848340101366,0.23700540012864513,GAK,sitewise,30,2728,none,2850
0.6020942408376964,0.45014245014245013,0.8186528497409327,0.5808823529411765,0.7793836923916008,0.3014830379377574,KAL,sitewise,30,573,none,2850
0.7358490566037735,0.4746932515337423,0.758578431372549,0.5839622641509434,0.8201307772415348,0.42902209290769217,KATMOJPRZ,sitewise,30,3339,none,2850
0.7609756097560976,0.796875,0.816,0.8063241106719368,0.838,0.4945738441705772,KIEG,sitewise,30,205,none,2850
0.7078005115089514,0.776500638569604,0.6831460674157304,0.7268380155409444,0.7777398059547228,0.4194441808499521,KLU,sitewise,30,1564,none,2850
0.7353407290015848,0.717607973421927,0.7248322147651006,0.7212020033388982,0.8256041276175504,0.4693499873694582,KUD,sitewise,30,631,none,2850
0.6397228637413395,0.47985347985347987,0.903448275862069,0.6267942583732058,0.8507423371647509,0.40127174323492604,LUMICE,sitewise,30,433,none,2850
0.7584683357879234,0.7364341085271318,0.7236126224156693,0.7299670691547749,0.8226907212280595,0.5115896293216555,LUX_A,sitewise,30,2037,none,2850
0.7534791252485089,0.8495934959349594,0.706081081081081,0.7712177121771218,0.8390782086434261,0.5191409121168656,MKW,sitewise,30,503,none,2850
0.75,0.8290155440414507,0.8290155440414507,0.8290155440414507,0.8101145734510691,0.3642268116470846,MOR,sitewise,30,264,none,2850
0.7877959927140255,0.6939163498098859,0.8352402745995423,0.7580477673935618,0.8775207109400153,0.5797357164825833,OST,sitewise,30,1098,none,2850
0.78,0.6955922865013774,0.7805255023183926,0.7356154406409323,0.8548974405993766,0.5509738210909051,OTW,sitewise,30,1650,none,2850
0.38448979591836735,0.9676674364896074,0.361518550474547,0.5263819095477387,0.5865558082986901,0.07055860843241647,PIO,sitewise,30,1225,none,2850
0.6881313131313131,0.6074418604651163,0.9006896551724138,0.7255555555555555,0.8333876600698487,0.43678960933738914,PRZ,sitewise,30,1584,none,2850
0.7430939226519337,0.7955555555555556,0.7920353982300885,0.7937915742793792,0.8329971369078605,0.4531445095574957,PUS,sitewise,30,362,none,2850
0.7285714285714285,0.7386363636363636,0.8125,0.7738095238095238,0.8210416666666666,0.43954525266180405,SL2,sitewise,30,140,none,2850
0.7172444844664565,0.8932778932778933,0.7311401020986954,0.8041172800998129,0.7656101771741797,0.3349023404270806,SLU,sitewise,30,2221,none,2850
0.7319587628865979,0.602510460251046,0.8044692737430168,0.6889952153110048,0.8202796947456821,0.47682389377589834,SRK,sitewise,30,485,none,2850
0.7372230752357973,0.89501312335958,0.7565169162506933,0.8199579200480914,0.7894909905898936,0.36343639796454186,STG1,sitewise,30,4559,none,2850
0.7154611557596632,0.6173786053304126,0.7938967136150235,0.6945984801807352,0.8177151193119094,0.4480691352345143,SZC,sitewise,30,10452,none,2850
0.6212121212121212,0.4676113360323887,0.673469387755102,0.5519713261648745,0.6940397709094677,0.25407982501183957,TER_L,sitewise,30,990,none,2850
0.6838709677419355,0.4100418410041841,0.9423076923076923,0.5714285714285714,0.8986589068825911,0.45998167594702405,TOR,sitewise,30,930,none,2850
0.6740547588005215,0.8807180081065431,0.6570194384449244,0.7525977238990599,0.7438989900728261,0.3326732199679587,WLU,sitewise,30,3068,none,2850
0.6744036105738234,0.822104466313399,0.5835572272971521,0.6825895663104965,0.7675458897831178,0.390557974580192,Z04O,sitewise,30,3102,none,2850
0.8245004344048653,0.8698830409356725,0.8403954802259888,0.8548850574712644,0.9081825254109754,0.6336763332534066,ZOZLO,sitewise,30,1151,none,2850
0.7764612954186414,0.9221621621621622,0.8016917293233082,0.85771744595274,0.8245924216481799,0.36754312786933313,AKS,sitewise,30,1266,all,2850
0.7358798563499837,0.4977618621307073,0.6915422885572139,0.5788651743883394,0.7758925602179453,0.40512603692464316,ARCHDAM,sitewise,30,3063,all,2850
0.6298168035375868,0.37280966767371604,0.8215712383488681,0.512884455527847,0.7926662310845719,0.33362970092121597,B2K,sitewise,30,3166,all,2850
0.5346385542168675,0.9628482972136223,0.5115131578947368,0.6680988184747583,0.6958117951127818,0.165255627930484,CHE,sitewise,30,664,all,2850
0.7676056338028169,0.605,0.8581560283687943,0.7096774193548387,0.8618141097424412,0.5477864399990495,CMD,sitewise,30,426,all,2850
0.5861436950146628,0.9583911234396671,0.5638514891880865,0.7099922938607758,0.7303303595231887,0.2101088837263931,GAK,sitewise,30,2728,all,2850
0.675392670157068,0.5119453924914675,0.7772020725388601,0.6172839506172839,0.7784701390782656,0.3790345714354271,KAL,sitewise,30,573,all,2850
0.784366576819407,0.5613810741687979,0.5379901960784313,0.5494367959949937,0.7931233630987076,0.40794839827140955,KATMOJPRZ,sitewise,30,3339,all,2850
0.7317073170731707,0.7430555555555556,0.856,0.7955390334572491,0.8438,0.41985426877995474,KIEG,sitewise,30,205,all,2850
0.6694373401534527,0.7856049004594181,0.5764044943820225,0.6649384316267012,0.7617427399726603,0.37022844074228123,KLU,sitewise,30,1564,all,2850
0.7385103011093502,0.7209302325581395,0.7281879194630873,0.7245409015025042,0.8001491424310216,0.4757056215604134,KUD,sitewise,30,631,all,2850
0.7043879907621247,0.5364806866952789,0.8620689655172413,0.6613756613756614,0.8528496168582375,0.46108155085291,LUMICE,sitewise,30,433,all,2850
0.697594501718213,0.6311688311688312,0.7932535364526659,0.7029893924783028,0.796706772742403,0.41397888001048616,LUX_A,sitewise,30,2037,all,2850
0.7335984095427436,0.7872340425531915,0.75,0.7681660899653979,0.8213050006528266,0.45625220478493395,MKW,sitewise,30,503,all,2850
0.7689393939393939,0.8793103448275862,0.7927461139896373,0.8337874659400545,0.8317156826972195,0.46488272077085474,MOR,sitewise,30,264,all,2850
0.7786885245901639,0.685823754789272,0.8192219679633868,0.7466110531803962,0.8738026082109832,0.5597795555300705,OST,sitewise,30,1098,all,2850
0.7612121212121212,0.6744827586206896,0.7557959814528593,0.7128279883381924,0.8367586575667125,0.512017761002233,OTW,sitewise,30,1650,all,2850
0.31265306122448977,0.9464788732394366,0.2899050905953408,0.4438573315719947,0.49811749941171857,0.0010084264066355165,PIO,sitewise,30,1225,all,2850
0.6786616161616161,0.6032504780114722,0.8703448275862069,0.7125917560700169,0.8034811930472482,0.40735392441195806,PRZ,sitewise,30,1584,all,2850
0.7679558011049724,0.8413461538461539,0.7743362831858407,0.8064516129032258,0.8438638729828213,0.520822220130388,PUS,sitewise,30,362,all,2850
0.7214285714285714,0.7662337662337663,0.7375,0.7515923566878981,0.821875,0.4351941398892446,SL2,sitewise,30,140,all,2850
0.7109410175596578,0.8977998580553584,0.7175269427112876,0.7976040353089533,0.7685230366064197,0.3386537726679164,SLU,sitewise,30,2221,all,2850
0.7422680412371134,0.6194690265486725,0.7821229050279329,0.691358024691358,0.8295724248731149,0.48471641637770896,SRK,sitewise,30,485,all,2850
0.7109015134898004,0.8885869565217391,0.7254575707154742,0.7987786259541985,0.7608268020129678,0.32415269327491625,STG1,sitewise,30,4559,all,2850
0.7079984691924991,0.6136620248400452,0.7654929577464789,0.6812199707541258,0.8037413867355728,0.42651886028361446,SZC,sitewise,30,10452,all,2850
0.6828282828282828,0.5478547854785478,0.4839650145772595,0.5139318885448917,0.6541021354445951,0.28107171374471307,TER_L,sitewise,30,990,all,2850
0.6774193548387096,0.4045643153526971,0.9375,0.5652173913043478,0.8741543255913061,0.4503248679520912,TOR,sitewise,30,930,all,2850
0.621251629726206,0.8765512736773351,0.5796976241900648,0.6978679147165887,0.7258631421040102,0.28291129435264006,WLU,sitewise,30,3068,all,2850
0.6715022566086396,0.7883561643835616,0.6184846856528748,0.6931647094248721,0.7427695419919714,0.36266115451598957,Z04O,sitewise,30,3102,all,2850
0.8166811468288445,0.8670605612998523,0.8290960451977402,0.8476534296028881,0.8856952468403667,0.6188205969562408,ZOZLO,sitewise,30,1151,all,2850
0.782780410742496,0.9246501614639397,0.8073308270676691,0.8620170597089815,0.8285798034690688,0.3817970385070339,AKS,sitewise,30,1266,0.99,630
0.7391446294482533,0.502283105022831,0.6840796019900498,0.5792522380200106,0.7794846044236542,0.40653329774649316,ARCHDAM,sitewise,30,3063,0.99,693
0.6383449147188882,0.37839506172839504,0.8162450066577897,0.5170814002530578,0.7946666005022978,0.3397664950175723,B2K,sitewise,30,3166,0.99,630
0.5180722891566265,0.9528301886792453,0.49835526315789475,0.6544276457883369,0.6800986842105263,0.1282217151333017,CHE,sitewise,30,664,0.99,630
0.7629107981220657,0.601010101010101,0.8439716312056738,0.7020648967551623,0.8614159512255816,0.5347434198506127,CMD,sitewise,30,426,0.99,633
0.5872434017595308,0.9591129591129591,0.5646674826601387,0.7108371854134566,0.7330316808729068,0.21279601058490735,GAK,sitewise,30,2728,0.99,632
0.6631762652705061,0.5,0.7979274611398963,0.6147704590818364,0.7827652031633487,0.3722147501128804,KAL,sitewise,30,573,0.99,633
0.793351302785265,0.58311345646438,0.5416666666666666,0.5616264294790343,0.7979121494019725,0.4271747557805819,KATMOJPRZ,sitewise,30,3339,0.99,640
0.7268292682926829,0.7379310344827587,0.856,0.7925925925925926,0.8361,0.40847487577319985,KIEG,sitewise,30,205,0.99,633
0.6828644501278772,0.7880116959064327,0.6056179775280899,0.6848792884371029,0.7682825992731637,0.38981568027318714,KLU,sitewise,30,1564,0.99,633
0.7131537242472267,0.6881028938906752,0.7181208053691275,0.7027914614121511,0.7932059576354877,0.4262157627182244,KUD,sitewise,30,631,0.99,631
0.6951501154734411,0.5263157894736842,0.896551724137931,0.6632653061224489,0.8548611111111111,0.46745382381144024,LUMICE,sitewise,30,433,0.99,634
0.6887579774177712,0.6196473551637279,0.8030467899891186,0.6995260663507109,0.7986387552776701,0.40176003419567047,LUX_A,sitewise,30,2037,0.99,632
0.7475149105367793,0.7964912280701755,0.7668918918918919,0.7814113597246127,0.8330558819689253,0.4833263778344355,MKW,sitewise,30,503,0.99,632
0.7537878787878788,0.8595505617977528,0.7927461139896373,0.8247978436657682,0.8198934539881778,0.41689439194739375,MOR,sitewise,30,264,0.99,633
0.7750455373406193,0.6841085271317829,0.8077803203661327,0.7408184679958028,0.874408444316738,0.5503773867265388,OST,sitewise,30,1098,0.99,631
0.7709090909090909,0.6834924965893588,0.7743431221020093,0.7260869565217392,0.8423677961478778,0.5335749168184465,OTW,sitewise,30,1650,0.99,633
0.31020408163265306,0.9385474860335196,0.2899050905953408,0.44297956493078444,0.47893952466860146,-0.021559311144014114,PIO,sitewise,30,1225,0.99,630
0.6755050505050505,0.5983224603914259,0.8855172413793103,0.71412680756396,0.8118020151740196,0.40900390647532187,PRZ,sitewise,30,1584,0.99,629
0.7569060773480663,0.8382352941176471,0.7566371681415929,0.7953488372093023,0.8357300884955753,0.5019203550203748,PUS,sitewise,30,362,0.99,633
0.7285714285714285,0.7560975609756098,0.775,0.7654320987654321,0.8175,0.44370499649390127,SL2,sitewise,30,140,0.99,633
0.7073390364700586,0.9000718907260963,0.7101531480431084,0.7939124920735574,0.7719003187797695,0.3400849537563613,SLU,sitewise,30,2221,0.99,627
0.7010309278350515,0.5691056910569106,0.7821229050279329,0.6588235294117647,0.8134151239639245,0.42055800468811083,SRK,sitewise,30,485,0.99,633
0.711998245229217,0.8898333900034002,0.7257348863006101,0.7994501298304567,0.7682101475970736,0.3278197290544289,STG1,sitewise,30,4559,0.99,634
0.7170876387294298,0.6217984670031782,0.7807511737089202,0.6922676657300447,0.8105481023522704,0.44633878170193414,SZC,sitewise,30,10452,0.99,592
0.6767676767676768,0.5403508771929825,0.4489795918367347,0.49044585987261147,0.6650519779561195,0.2590662468971345,TER_L,sitewise,30,990,0.99,637
0.6924731182795699,0.41594827586206895,0.9278846153846154,0.5744047619047619,0.8784426273172812,0.4604799743112988,TOR,sitewise,30,930,0.99,633
0.6300521512385919,0.8821243523316062,0.5883369330453564,0.7058823529411765,0.7266616758308739,0.2983539927312683,WLU,sitewise,30,3068,0.99,625
0.6689232753062541,0.7848360655737705,0.6174099946265449,0.6911278195488721,0.7469708824546948,0.3568079198429006,Z04O,sitewise,30,3102,0.99,627
0.8071242397914856,0.8573529411764705,0.8234463276836158,0.840057636887608,0.8905988955631224,0.5981896530921946,ZOZLO,sitewise,30,1151,0.99,632
0.7969984202211691,0.9190031152647975,0.831766917293233,0.8732116428219043,0.8269466984292415,0.38245893161275296,AKS,sitewise,30,1266,0.95,242
0.7433888344760039,0.5085227272727273,0.667910447761194,0.5774193548387097,0.7850967605531439,0.4056168329385502,ARCHDAM,sitewise,30,3063,0.95,285
0.6370814908401768,0.37806372549019607,0.8215712383488681,0.5178346621905161,0.7946517135193104,0.3415503942106036,B2K,sitewise,30,3166,0.95,242
0.5331325301204819,0.9570552147239264,0.5131578947368421,0.6680942184154176,0.6790119830827067,0.14628340352090902,CHE,sitewise,30,664,0.95,242
0.7394366197183099,0.5728155339805825,0.8368794326241135,0.6801152737752162,0.8594500435485878,0.49728959599637046,CMD,sitewise,30,426,0.95,244
0.5362903225806451,0.9618380062305296,0.5038759689922481,0.6613119143239625,0.7203602154576265,0.19786432626649902,GAK,sitewise,30,2728,0.95,243
0.6474694589877836,0.48562300319488816,0.7875647668393783,0.6007905138339921,0.7784155985819472,0.34543827800579435,KAL,sitewise,30,573,0.95,244
0.7765798143156634,0.5380434782608695,0.6066176470588235,0.5702764976958525,0.7986975705859038,0.4214362694027693,KATMOJPRZ,sitewise,30,3339,0.95,249
0.7560975609756098,0.7586206896551724,0.88,0.8148148148148148,0.8346,0.47440979666572425,KIEG,sitewise,30,205,0.95,244
0.6854219948849105,0.7851002865329513,0.6157303370786517,0.690176322418136,0.7728720034674758,0.3916768960497886,KLU,sitewise,30,1564,0.95,244
0.7369255150554676,0.7129032258064516,0.7416107382550335,0.7269736842105263,0.8009049317774151,0.47368519693043765,KUD,sitewise,30,631,0.95,243
