hospital,auc,mcc,fit_secs,condition,group,seed,n_features,model,task
H25,0.8377749683944374,0.49118799179903255,26.07,no_coh,coh,42,456,logreg,patho
H26,0.8424942655679211,0.4430134737208615,25.82,no_coh,coh,42,456,logreg,patho
H27,0.8343989948345664,0.4814097088427276,25.23,no_coh,coh,42,456,logreg,patho
H28,0.6756865709246661,0.22241527418076965,27.99,no_coh,coh,42,456,logreg,patho
H29,0.8107476635514018,0.5391435469057273,40.14,no_coh,coh,42,456,logreg,patho
H30,0.7671212121212121,0.3685959030459374,36.58,no_coh,coh,42,456,logreg,patho
H1,0.7689872080024527,0.3847082739478365,139.07,no_pow,pow,42,2584,logreg,patho
H2,0.7255695788325937,0.3477900193157799,130.16,no_pow,pow,42,2584,logreg,patho
H3,0.7133474746911515,0.24523301460556193,116.0,no_pow,pow,42,2584,logreg,patho
H4,0.7561707370262207,0.365581860155232,123.39,no_pow,pow,42,2584,logreg,patho
H5,0.6929402290622763,0.2766203391556717,126.88,no_pow,pow,42,2584,logreg,patho
H6,0.7167653314435424,0.2941591111033431,120.82,no_pow,pow,42,2584,logreg,patho
H7,0.8138794139656952,0.49019689938585537,107.03,no_pow,pow,42,2584,logreg,patho
H8,0.7473315297589769,0.16525230977048758,131.43,no_pow,pow,42,2584,logreg,patho
H9,0.7265807962529274,0.294000220030477,133.77,no_pow,pow,42,2584,logreg,patho
H10,0.765768625870175,0.345708879184313,127.02,no_pow,pow,42,2584,logreg,patho
H11,0.7992013673420536,0.45958198944977663,124.14,no_pow,pow,42,2584,logreg,patho
H12,0.7668420694761336,0.36731542059564565,121.37,no_pow,pow,42,2584,logreg,patho
H13,0.7872631208171892,0.4122532533795112,134.79,no_pow,pow,42,2584,logreg,patho
H14,0.8071313932512733,0.3968187090799524,130.51,no_pow,pow,42,2584,logreg,patho
H15,0.6414318692091199,0.21741279461430169,133.69,no_pow,pow,42,2584,logreg,patho
H16,0.8124434184320117,0.42642261087873673,130.51,no_pow,pow,42,2584,logreg,patho
H17,0.8314695064072141,0.4785319649617437,132.97,no_pow,pow,42,2584,logreg,patho
H18,0.7219395023426617,0.3451380883100963,135.76,no_pow,pow,42,2584,logreg,patho
H19,0.8421630060974324,0.3662182910785755,121.06,no_pow,pow,42,2584,logreg,patho
H20,0.6732588678290036,0.18322232397637314,129.35,no_pow,pow,42,2584,logreg,patho
H21,0.7365797292835919,0.3725636968534438,124.27,no_pow,pow,42,2584,logreg,patho
H22,0.7791730009121314,0.36630290838974433,124.39,no_pow,pow,42,2584,logreg,patho
H23,0.735929634029074,0.3630330115886185,118.63,no_pow,pow,42,2584,logreg,patho
H24,0.8111168831168831,0.4388409767441258,127.2,no_pow,pow,42,2584,logreg,patho
H25,0.8144879898862201,0.43554045720827855,108.88,no_pow,pow,42,2584,logreg,patho
H26,0.8589542094979186,0.4831074430371102,108.18,no_pow,pow,42,2584,logreg,patho
H27,0.8403183023872679,0.5060384969136615,115.5,no_pow,pow,42,2584,logreg,patho
H28,0.7062232300327539,0.28092887294508423,120.76,no_pow,pow,42,2584,logreg,patho
H29,0.8196553738317757,0.5441919328812989,120.52,no_pow,pow,42,2584,logreg,patho
H30,0.760909090909091,0.39221521462305103,134.41,no_pow,pow,42,2584,logreg,patho
H1,0.7653326646359901,0.3795748672508586,74.56,no_cov,cov,42,2660,logreg,patho
H2,0.7301459267471604,0.35144946577351616,73.04,no_cov,cov,42,2660,logreg,patho
H3,0.7254772127430207,0.2689346565541947,80.13,no_cov,cov,42,2660,logreg,patho
H4,0.7371285136499244,0.2946979346938421,85.32,no_cov,cov,42,2660,logreg,patho
H5,0.6835133321403006,0.26346064614897297,82.57,no_cov,cov,42,2660,logreg,patho
H6,0.7030290689340587,0.2741476816665128,91.11,no_cov,cov,42,2660,logreg,patho
H7,0.8321707266918655,0.5011067260960262,76.9,no_cov,cov,42,2660,logreg,patho
H8,0.7117170847679948,0.12830124032481416,80.74,no_cov,cov,42,2660,logreg,patho
H9,0.7194073173151155,0.2863730695123366,82.44,no_cov,cov,42,2660,logreg,patho
H10,0.7662792956307972,0.37086117980765587,85.49,no_cov,cov,42,2660,logreg,patho
H11,0.769411972781233,0.3878434969777275,83.58,no_cov,cov,42,2660,logreg,patho
H12,0.7685872833592723,0.37320812900181444,84.14,no_cov,cov,42,2660,logreg,patho
H13,0.7795320283802144,0.39439277771771836,79.97,no_cov,cov,42,2660,logreg,patho
H14,0.7991199331494057,0.36417935698050924,102.98,no_cov,cov,42,2660,logreg,patho
H15,0.6483888309142081,0.21995269223007471,100.88,no_cov,cov,42,2660,logreg,patho
H16,0.7804020847882879,0.39618200082918176,98.12,no_cov,cov,42,2660,logreg,patho
H17,0.8257964523018508,0.452261632034815,84.74,no_cov,cov,42,2660,logreg,patho
H18,0.7237795998480436,0.3578703852396451,80.64,no_cov,cov,42,2660,logreg,patho
H19,0.8150375199555527,0.3331880118312158,83.61,no_cov,cov,42,2660,logreg,patho
H20,0.6778575873598498,0.16103228974225012,91.9,no_cov,cov,42,2660,logreg,patho
H21,0.7167381974248926,0.33478607780160524,84.64,no_cov,cov,42,2660,logreg,patho
H22,0.7767558528428095,0.36515298983875777,87.15,no_cov,cov,42,2660,logreg,patho
H23,0.7421658464845295,0.3462992480185015,89.93,no_cov,cov,42,2660,logreg,patho
H24,0.7927445887445888,0.41999110143552965,96.16,no_cov,cov,42,2660,logreg,patho
H25,0.8212895069532238,0.42385781020872426,92.0,no_cov,cov,42,2660,logreg,patho
H26,0.8626709710304986,0.5061561912271988,86.59,no_cov,cov,42,2660,logreg,patho
H27,0.8203546000279214,0.4793719231986079,83.87,no_cov,cov,42,2660,logreg,patho
H28,0.7272360796170321,0.337723157728206,88.39,no_cov,cov,42,2660,logreg,patho
H29,0.7842435747663551,0.4931416628632013,100.17,no_cov,cov,42,2660,logreg,patho
H30,0.7687878787878787,0.4773929622481257,90.49,no_cov,cov,42,2660,logreg,patho
H1,0.7270025676713634,0.32879028633169444,5.65,sub_coh,coh,42,190,logreg,patho
H2,0.712030461440946,0.3102882269168968,4.48,sub_coh,coh,42,190,logreg,patho
H3,0.6697481816041535,0.18318107670943268,4.38,sub_coh,coh,42,190,logreg,patho
H4,0.7334167414191964,0.31985087346012253,4.66,sub_coh,coh,42,190,logreg,patho
