fold,mcc_overall,fit_secs,mcc_H1,mcc_H2,mcc_H3,mcc_H4,mcc_H5,mcc_H6,mcc_H7,mcc_H8,mcc_H9,mcc_H10,mcc_H11,mcc_H12,mcc_H13,mcc_H14,mcc_H15,mcc_H16,mcc_H17,mcc_H18,mcc_H19,mcc_H20,mcc_H21,mcc_H22,mcc_H23,mcc_H24,mcc_H25,mcc_H26,mcc_H27,mcc_H28,mcc_H29,mcc_H30,condition,group,seed,n_features,model,task
0,0.8466283320302973,91.57,0.8880749812557518,0.9320774018023997,0.9136366072047102,0.923793951737465,0.9137094694706892,0.7801549135283578,0.8563417529865968,0.7242448272162367,0.8400552945420522,0.8298226900748096,0.8021949679950813,0.8105502886893022,0.8188397626123298,0.35383403148809295,0.7939927945499989,0.774225297831266,0.7527433578625228,0.6172686289709977,0.8877075778523101,0.2989779224618955,0.9403452809057224,0.9177805827369573,0.7690307319404465,0.8007548727819236,0.8760929560971343,0.2862068016662421,0.8792631820514155,0.931922766134977,0.34688652456584856,0.4544230751102355,no_pow,pow,42,2584,logreg,site
1,0.8503134058627624,88.94,0.8808004066455781,0.9314050794467951,0.9081461168069503,0.9277978748730853,0.9193436650806189,0.780215859964387,0.8506015254501216,0.609840569145038,0.8787317887859474,0.8296682207366679,0.7797839901894358,0.8236516954950983,0.8154683348744498,0.41307106006653455,0.8236267379153989,0.7649437251112275,0.7449416162344941,0.6053454474889104,0.9212352366195422,0.5239303588439964,0.9271065504889426,0.9385146246997974,0.7840088536183205,0.8220575437991632,0.8924917315371164,0.40126061695195586,0.8973861961893898,0.9598578410469673,0.5049465005708449,0.5642375767303529,no_pow,pow,42,2584,logreg,site
2,0.8355555838435011,92.88,0.8758771524592435,0.9292402384312668,0.9122077692737433,0.9262668633027918,0.903269394568463,0.7494625887940192,0.8317301014450281,0.7088505083549825,0.8314481167928892,0.8229891883964139,0.7704051970965543,0.7793055424739914,0.7838947797486433,0.38133845231231833,0.7932771778649167,0.7772278191004364,0.7276750898829687,0.6200532732780504,0.9043877611980929,0.46339613869431856,0.8969493306857804,0.8474305282310167,0.7590298616109625,0.7689790919429621,0.9211674555153917,0.27943519493593355,0.9302051937822203,0.9347638659054756,0.39258982057859454,0.42478214888232146,no_pow,pow,42,2584,logreg,site
3,0.8388756039321142,76.96,0.8872329874444761,0.9117558302859418,0.908673579915196,0.8961438920606953,0.9054663216552497,0.7615877554207349,0.844584439326368,0.6728760509587101,0.900049062763422,0.8352674652457607,0.7748538502682026,0.8281328460330275,0.7988046941703156,0.38810807732242625,0.8102815332215977,0.7542453477085845,0.7561223758028451,0.5000117896805413,0.867105330257305,0.4343600291807481,0.9059237822957161,0.9187557168117715,0.8145711951286642,0.7509464595729113,0.9043365147794495,0.21448163417857255,0.8705332552176013,0.986679226547175,0.4365960346344179,0.47506516733474985,no_pow,pow,42,2584,logreg,site
4,0.8466263560326371,101.7,0.8884990612821726,0.916251990334595,0.916411744128342,0.9278046093440321,0.912182817812604,0.7623811637560284,0.8296528309983506,0.5805516830548941,0.853436910642281,0.8440036920418931,0.8042068723701211,0.826777922965389,0.8188397626123298,0.4348222142190799,0.7912644589320621,0.7767936568896026,0.8016207766632588,0.5516213381581546,0.921724667082424,0.5379535232021777,0.9676805407318256,0.9138507138769936,0.7807288792326196,0.7019165333888521,0.8844895459714811,0.31314913693055535,0.8952679362449785,0.9043499004553388,0.3906826813649867,0.4815579910732195,no_pow,pow,42,2584,logreg,site
0,0.855997090493199,58.55,0.9022871405991251,0.9328559495974574,0.9188544480105815,0.9215235146814873,0.9324425454072935,0.7891677025526738,0.8675532262895768,0.7812437805431887,0.8322136650037384,0.8537660705582829,0.8168491809498453,0.8006976596978644,0.8135205988672839,0.3776775705696525,0.8195094786784503,0.7756693362240517,0.7834498589537102,0.5908834189930212,0.9046423255634682,0.3477323096667021,0.9329458599321225,0.9228377746610565,0.7894038971439604,0.8401309690087717,0.9345876746861622,0.36226502903870755,0.867739923254563,0.931922766134977,0.2959822988445595,0.41195768468608834,no_cov,cov,42,2660,logreg,site
1,0.8511058007726268,54.46,0.8812524879805838,0.9281542748225456,0.9162228095461972,0.9374813473626611,0.9216398954637761,0.777482488313265,0.8707608331738341,0.5819645741164793,0.875832270926991,0.832355545121764,0.760171461344536,0.7914492467346091,0.811768905992228,0.4337645227147888,0.8036694185974269,0.7821337166477444,0.7479517893045883,0.646420452652601,0.9413591105303172,0.5165988114920496,0.9170078318637565,0.9154174731589699,0.8158184148145011,0.8267343189572216,0.9133671594786108,0.28435549613378663,0.9058522601590664,0.9728206500483728,0.4784123853793628,0.576477947285908,no_cov,cov,42,2660,logreg,site
2,0.8475157870982867,56.47,0.8907064784946839,0.9303649313164698,0.9109644920438165,0.9234218434288156,0.9160176436728606,0.7592608315148972,0.8412932110905484,0.7681159060626334,0.8942416103667747,0.8698206567524636,0.7923716192790551,0.7873621794736743,0.8188397626123298,0.35915297302269017,0.8076420085869727,0.775657081148222,0.7728215292421118,0.585086143493241,0.8907409420246514,0.4880101463216146,0.8959594633746865,0.8689921474713438,0.7958710757527686,0.8064645596022906,0.8748262429260021,0.33413780930983894,0.9302051937822203,0.9347638659054756,0.34858360652277126,0.3401509207003256,no_cov,cov,42,2660,logreg,site
3,0.8512244360955159,51.57,0.8859745747912552,0.9225541219560589,0.9210041493790585,0.917012169816925,0.9272424370074531,0.7865817671459472,0.8606668326060701,0.6658844165260241,0.9109894255011841,0.8757123345836262,0.7885982012553225,0.8097184695581388,0.8246347765781654,0.3954943611831074,0.8105584190772841,0.7950986371775064,0.7662015284681643,0.4761661865523617,0.881628773766952,0.44278464983776844,0.9157711427493581,0.9326491385694627,0.7913314132418132,0.756555737826156,0.9055037820239984,0.3162969778936763,0.9038671915970974,0.986679226547175,0.35778986328022727,0.41195768468608834,no_cov,cov,42,2660,logreg,site
4,0.8427491087030003,49.76,0.878593249171043,0.9255271845542179,0.9025852939431878,0.9161519606411185,0.9200421934646583,0.796322433218204,0.8507000695827048,0.5805516830548941,0.8787701951046449,0.841832212248009,0.7748538502682026,0.8104419378617993,0.7998095293811464,0.2872464143407169,0.7596949961014102,0.8018690828861516,0.766235231523286,0.49741399925891,0.915781482376571,0.5533365166952129,0.9449416284475706,0.9154174731589699,0.7840088536183205,0.7385932707218458,0.925556966534902,0.35656392664814357,0.883819453661262,0.9456172245578404,0.2477399348361207,0.44931126581370046,no_cov,cov,42,2660,logreg,site
0,0.7685207279529886,13.49,0.8064697193447508,0.874782493924259,0.8761517647442012,0.81791753555342,0.8351120823640769,0.6709834732331953,0.8187676970462019,0.5731414674302365,0.7444874731099251,0.7177647219143954,0.6593465977149207,0.7034699273007894,0.705976025622683,0.27874810134608746,0.6876164611747247,0.6742503520216497,0.5798864501163911,0.40942226956830313,0.8796410642977569,0.29164139991573557,0.9312674469003166,0.8599058242986366,0.6495489707329536,0.7929119188760847,0.8046588222106057,0.1689334975920599,0.8149531138565604,0.9731802778267762,0.2978956861329029,0.41245048318395316,sub_coh,coh,42,190,logreg,site
