hospital,auc,mcc,fit_secs,condition,group,seed,n_features,model,task
H15,0.6244690046274337,0.1821597837968477,10.66,sub_coh,coh,43,190,catboost,patho
H16,0.7701074726468535,0.3710149783216811,10.86,sub_coh,coh,43,190,catboost,patho
H17,0.7856364202657807,0.4118817375122749,7.98,sub_coh,coh,43,190,catboost,patho
H18,0.7584407053311384,0.4094099938261487,46.45,sub_coh,coh,43,190,catboost,patho
H19,0.7886856411446577,0.32456517031294785,24.3,sub_coh,coh,43,190,catboost,patho
H20,0.6740604794903438,0.18727191646376512,18.67,sub_coh,coh,43,190,catboost,patho
H21,0.6978320677891494,0.281251407528201,19.02,sub_coh,coh,43,190,catboost,patho
H22,0.7881118881118881,0.39343033402308214,17.52,sub_coh,coh,43,190,catboost,patho
H23,0.7205158662820296,0.30365694011125016,23.88,sub_coh,coh,43,190,catboost,patho
H24,0.7468571428571429,0.3276102951257133,20.9,sub_coh,coh,43,190,catboost,patho
H25,0.7728445006321112,0.3411944762169865,16.34,sub_coh,coh,43,190,catboost,patho
H26,0.8335527992524001,0.42803211018424064,19.77,sub_coh,coh,43,190,catboost,patho
H27,0.7721345804830378,0.4261821390837726,16.06,sub_coh,coh,43,190,catboost,patho
H28,0.7050138573948097,0.265502925179156,21.12,sub_coh,coh,43,190,catboost,patho
H29,0.7586156542056075,0.41338444951901476,19.14,sub_coh,coh,43,190,catboost,patho
H30,0.7456060606060606,0.36196233871731864,18.16,sub_coh,coh,43,190,catboost,patho
H1,0.7325291404886056,0.3314083699203822,39.13,sub_coh,coh,44,190,catboost,patho
H2,0.6992325526139854,0.27537789196209,7.47,sub_coh,coh,44,190,catboost,patho
H3,0.700720543226398,0.21840351896320145,9.61,sub_coh,coh,44,190,catboost,patho
H4,0.7052856221096626,0.27175460609564916,7.33,sub_coh,coh,44,190,catboost,patho
H5,0.6923724946313529,0.2925159902743343,4.44,sub_coh,coh,44,190,catboost,patho
H6,0.6889096682550379,0.25188664583853526,9.03,sub_coh,coh,44,190,catboost,patho
H7,0.8011963842421134,0.443414646523433,6.32,sub_coh,coh,44,190,catboost,patho
H8,0.6441916707656994,0.08162057701300775,6.44,sub_coh,coh,44,190,catboost,patho
H9,0.7062712142188639,0.24122850145232366,6.34,sub_coh,coh,44,190,catboost,patho
H10,0.7310639684366405,0.33267821809186005,6.29,sub_coh,coh,44,190,catboost,patho
H11,0.7470112262929753,0.3729038065231491,6.26,sub_coh,coh,44,190,catboost,patho
H12,0.7210660914764057,0.2799445543901971,29.46,sub_coh,coh,44,190,catboost,patho
H13,0.7356513863030241,0.32152217778864917,12.83,sub_coh,coh,44,190,catboost,patho
H14,0.7885186757215619,0.3922318421504039,17.13,sub_coh,coh,44,190,catboost,patho
H15,0.6286563577143218,0.15083219632472544,16.55,sub_coh,coh,44,190,catboost,patho
H16,0.7780062595380357,0.3822360985490327,17.96,sub_coh,coh,44,190,catboost,patho
