mcc,accuracy,precision,recall,f1-score,auc,model,hospital,method,n_calib,n_test,pca_var,n_features
0.4219581286609247,0.748159057437408,0.6626297577854672,0.5463623395149786,0.5989053948397185,0.7914431479409227,catboost,H10,sitewise,30,2037,0.95,244
0.5351655057592376,0.7878787878787878,0.7752577319587629,0.6094003241491086,0.6823956442831216,0.8497994072433047,catboost,H11,sitewise,30,1650,0.95,244
0.463090317335126,0.7758838383838383,0.6070686070686071,0.6375545851528385,0.6219382321618744,0.8120486787096575,catboost,H12,sitewise,30,1584,0.95,241
0.4293789730567914,0.7870843989769821,0.6369047619047619,0.5035294117647059,0.5624178712220762,0.8100542271342251,catboost,H13,sitewise,30,1564,0.95,244
0.3407106726504106,0.6500789889415481,0.9190839694656489,0.6068548387096774,0.7310261080752884,0.784303626089004,catboost,H14,sitewise,30,1266,0.95,242
0.2340253405758279,0.6424489795918368,0.6136363636363636,0.3720472440944882,0.4632352941176471,0.6561213059664613,catboost,H15,sitewise,30,1225,0.95,242
0.5637080345932629,0.7767158992180713,0.6252319109461967,0.8596938775510204,0.723952738990333,0.8702878384555404,catboost,H16,sitewise,30,1151,0.95,243
0.5334870348703263,0.802367941712204,0.6965944272445821,0.6540697674418605,0.6746626686656672,0.8512815372278083,catboost,H17,sitewise,30,1098,0.95,243
0.4148358723900108,0.7121212121212122,0.7982832618025751,0.4386792452830189,0.5662100456621004,0.752916861124075,catboost,H18,sitewise,30,990,0.95,246
0.4536363100556974,0.7978494623655914,0.4901960784313725,0.6830601092896175,0.5707762557077626,0.8451949876006759,catboost,H19,sitewise,30,930,0.95,244
0.4324433390960016,0.717701250274183,0.719959266802444,0.6573686657368666,0.6872417982989064,0.7850507219851386,catboost,H2,sitewise,30,4559,0.95,244
0.2237650138986184,0.516566265060241,0.8907563025210085,0.4181459566074951,0.5691275167785235,0.6828226485257353,catboost,H20,sitewise,30,664,0.95,242
0.4566574303896529,0.7844690966719493,0.7657657657657657,0.4358974358974359,0.5555555555555556,0.7773582686426725,catboost,H21,sitewise,30,631,0.95,243
0.4767650107067758,0.774869109947644,0.5357142857142857,0.7342657342657343,0.6194690265486725,0.8179866644982924,catboost,H22,sitewise,30,573,0.95,244
0.3850509554775931,0.6898608349900597,0.729064039408867,0.5943775100401606,0.6548672566371682,0.7709262245833728,catboost,H23,sitewise,30,503,0.95,243
0.5064514259196119,0.7855670103092783,0.7226277372262774,0.6,0.6556291390728477,0.8428219696969697,catboost,H24,sitewise,30,485,0.95,244
0.4294140020163992,0.7528868360277137,0.52,0.6902654867256637,0.5931558935361216,0.833241150442478,catboost,H25,sitewise,30,433,0.95,244
0.5465023526953814,0.7934272300469484,0.7692307692307693,0.6329113924050633,0.6944444444444444,0.8658605705648971,catboost,H26,sitewise,30,426,0.95,244
0.5493949057613031,0.7845303867403315,0.7375886524822695,0.7172413793103448,0.7272727272727273,0.861210869219768,catboost,H27,sitewise,30,362,0.95,244
0.3788679795247888,0.7083333333333334,0.6555555555555556,0.5619047619047619,0.6051282051282051,0.7686133572926026,catboost,H28,sitewise,30,264,0.95,244
0.5515436954458899,0.775609756097561,0.7961165048543689,0.7663551401869159,0.780952380952381,0.8290101087163837,catboost,H29,sitewise,30,205,0.95,244
0.3307638826770639,0.8313866427073974,0.387037037037037,0.473922902494331,0.4260958205912334,0.7685830715999306,catboost,H3,sitewise,30,3339,0.95,249
0.3693308411216446,0.6928571428571428,0.6491228070175439,0.6166666666666667,0.6324786324786325,0.7579166666666666,catboost,H30,sitewise,30,140,0.95,244
0.4609422031518335,0.8022741629816803,0.5570719602977667,0.6253481894150418,0.589238845144357,0.8199388506563257,catboost,H4,sitewise,30,3166,0.95,242
0.3316524040873684,0.7024500322372663,0.5928646379853095,0.5136363636363637,0.5504140282513394,0.730348742166924,catboost,H5,sitewise,30,3102,0.95,238
0.3364098343722356,0.6166883963494133,0.8523245214220602,0.4797331965110313,0.6139198949441891,0.7307526006095562,catboost,H6,sitewise,30,3068,0.95,239
0.4739707874513733,0.7737512242899118,0.5693501454898157,0.7021531100478469,0.6288162828066417,0.8273553367437043,catboost,H7,sitewise,30,3063,0.95,285
0.1671926810696243,0.4725073313782991,0.9870578084555652,0.4454828660436137,0.6138985779447277,0.752110105140187,catboost,H8,sitewise,30,2728,0.95,243
0.2890315499832867,0.5821701936064836,0.9096638655462184,0.5070257611241218,0.6511278195488722,0.7551860069116325,catboost,H9,sitewise,30,2221,0.95,240
0.4525079168872143,0.7654037504783774,0.6341386884217132,0.6111279104928938,0.6224206960271019,0.8091891090066388,catboost,H1,sitewise,30,10452,0.9,117
0.3972296893955697,0.7358861070201277,0.6351575456053068,0.5463623395149786,0.5874233128834356,0.7876760743847542,catboost,H10,sitewise,30,2037,0.9,132
0.5322735317861766,0.786060606060606,0.7568093385214008,0.6304700162074555,0.6878868258178603,0.8447096700300143,catboost,H11,sitewise,30,1650,0.9,132
0.4663717692025294,0.7689393939393939,0.5864661654135338,0.6812227074235808,0.6303030303030303,0.8179551218906823,catboost,H12,sitewise,30,1584,0.9,130
0.4472753980132213,0.7921994884910486,0.6436781609195402,0.5270588235294118,0.5795601552393272,0.809426225275009,catboost,H13,sitewise,30,1564,0.9,133
0.3291951782681244,0.6453396524486572,0.9145038167938933,0.6038306451612904,0.7273831208257437,0.7850762302801977,catboost,H14,sitewise,30,1266,0.9,131
0.2343747856283531,0.643265306122449,0.6263345195729537,0.3464566929133858,0.4461343472750317,0.6382592604794693,catboost,H15,sitewise,30,1225,0.9,131
0.5517549255810391,0.7680278019113814,0.6134301270417423,0.8622448979591837,0.7168610816542949,0.8702206178914255,catboost,H16,sitewise,30,1151,0.9,132
0.5136833697223333,0.7923497267759563,0.6736526946107785,0.6540697674418605,0.6637168141592921,0.8458724014558017,catboost,H17,sitewise,30,1098,0.9,132
0.3954914961476706,0.703030303030303,0.7901785714285714,0.4174528301886792,0.5462962962962963,0.7511792452830188,catboost,H18,sitewise,30,990,0.9,134
0.4518075536288227,0.7849462365591398,0.4697508896797153,0.7213114754098361,0.5689655172413793,0.8407839006298419,catboost,H19,sitewise,30,930,0.9,132
0.4283109303574312,0.7155077867953499,0.7064796905222437,0.6792189679218968,0.6925811803744963,0.7873848754577566,catboost,H2,sitewise,30,4559,0.9,132
0.1879223288190288,0.4984939759036144,0.8717948717948718,0.4023668639053254,0.5506072874493927,0.6712647143808339,catboost,H20,sitewise,30,664,0.9,131
0.4597826264794844,0.7844690966719493,0.7322834645669292,0.4769230769230769,0.577639751552795,0.778440366972477,catboost,H21,sitewise,30,631,0.9,132
0.4427622909588239,0.7609075043630017,0.5153061224489796,0.7062937062937062,0.5958702064896755,0.8134005529354367,catboost,H22,sitewise,30,573,0.9,132
0.3555452785469702,0.6759443339960238,0.7067307692307693,0.5903614457831325,0.6433260393873085,0.761407836068684,catboost,H23,sitewise,30,503,0.9,132
0.5064523562384363,0.7876288659793814,0.7540983606557377,0.5575757575757576,0.6411149825783972,0.8484659090909091,catboost,H24,sitewise,30,485,0.9,132
0.3948918062711434,0.7297921478060047,0.4875,0.6902654867256637,0.5714285714285714,0.8313606194690266,catboost,H25,sitewise,30,433,0.9,133
0.5238910707236659,0.784037558685446,0.775,0.5886075949367089,0.6690647482014388,0.8492820706593615,catboost,H26,sitewise,30,426,0.9,132
0.5408780682958423,0.7817679558011049,0.746268656716418,0.6896551724137931,0.7168458781362007,0.8587319243604006,catboost,H27,sitewise,30,362,0.9,132
0.3498779754524382,0.696969696969697,0.6506024096385542,0.5142857142857142,0.574468085106383,0.7603474094040132,catboost,H28,sitewise,30,264,0.9,132
