mcc,accuracy,precision,recall,f1-score,auc,model,hospital,method,n_calib,n_test,pca_var,n_features
0.33102752695727417,0.6652774731300723,0.9117181314330958,0.6386577925679423,0.7511415525114156,0.7628622925880209,logreg,STG1,combat,30,4559,none,2850
0.3855504406547841,0.6985265977803291,0.6193242952442436,0.6755868544600939,0.6462332996519591,0.7623150726061797,logreg,SZC,combat,30,10452,none,2850
0.21201674487582925,0.6181818181818182,0.459954233409611,0.5860058309037901,0.5153846153846153,0.6481360484136247,logreg,TER_L,combat,30,990,none,2850
0.434742841321355,0.7473118279569892,0.4606413994169096,0.7596153846153846,0.573502722323049,0.8380433624547199,logreg,TOR,combat,30,930,none,2850
0.3031013568899456,0.6176662320730117,0.8916323731138546,0.5615550755939525,0.6891068115557911,0.7405402149501347,logreg,WLU,combat,30,3068,none,2850
0.3371292908469059,0.6727917472598324,0.7520858164481525,0.6781300376141859,0.7131958180276914,0.7319420948507924,logreg,Z04O,combat,30,3102,none,2850
0.542297465522968,0.7706342311033884,0.8627450980392157,0.7457627118644068,0.8,0.865331394829807,logreg,ZOZLO,combat,30,1151,none,2850
0.40926722867796533,0.7875197472353871,0.9325353645266594,0.8054511278195489,0.8643469490670701,0.8200094915506587,logreg,AKS,combat,30,1266,all,2850
0.3628783851871181,0.6980084884100555,0.4523246650906225,0.7139303482587065,0.5537867824409068,0.7699137116542124,logreg,ARCHDAM,combat,30,3063,all,2850
0.3165283250391472,0.6512950094756791,0.3808237677245105,0.7509986684420772,0.5053763440860215,0.7696956163348799,logreg,B2K,combat,30,3166,all,2850
0.15292056932165102,0.6144578313253012,0.9512820512820512,0.6101973684210527,0.7434869739478958,0.673108552631579,logreg,CHE,combat,30,664,all,2850
0.49451168654327027,0.7253521126760564,0.5540540540540541,0.8723404255319149,0.6776859504132231,0.8666417817593628,logreg,CMD,combat,30,426,all,2850
0.2185366546304727,0.6008064516129032,0.9588948787061995,0.580579355365157,0.7232528589580686,0.7455263967996559,logreg,GAK,combat,30,2728,all,2850
0.3888397298794942,0.6980802792321117,0.5384615384615384,0.7253886010362695,0.6181015452538632,0.7896509408235615,logreg,KAL,combat,30,573,all,2850
