accuracy,precision,recall,f1-score,auc,mcc,hospital,model,method,n_calib,n_test
0.8041894353369763,0.6738544474393531,0.7267441860465116,0.6993006993006993,0.8610164394546913,0.555305253352452,H17,catboost,sitewise,30,1098
0.7432646592709984,0.5911602209944752,0.5487179487179488,0.5691489361702128,0.7919077864031991,0.3872098519101609,H21,catboost,sitewise,30,631
0.6785714285714286,0.6153846153846154,0.6666666666666666,0.64,0.7583333333333333,0.3514317480027573,H30,catboost,sitewise,30,140
0.7021276595744681,0.5728476821192053,0.6290909090909091,0.5996533795493935,0.7457020252474797,0.3643231562092931,H5,catboost,sitewise,30,3102
0.4759036144578313,0.8916256157635468,0.3570019723865877,0.5098591549295775,0.6906870689330268,0.2000156523647965,H20,catboost,sitewise,30,664
0.6685136897001304,0.8227146814404432,0.6095433555669574,0.7002652519893899,0.745488050745301,0.3672014709157958,H6,catboost,sitewise,30,3068
0.7179205966220662,0.7062470195517406,0.6885169688516969,0.6972693032015066,0.7921168937881014,0.4334062088657642,H2,catboost,sitewise,30,4559
0.7838874680306905,0.5908141962421712,0.6658823529411765,0.6261061946902655,0.8201539017714197,0.4765694257019086,H13,catboost,sitewise,30,1564
0.6191348973607038,0.9829437776373974,0.6059190031152648,0.7496988677427125,0.7954317562305295,0.2081438874728995,H8,catboost,sitewise,30,2728
0.7835951134380453,0.5519125683060109,0.7062937062937062,0.6196319018404908,0.8362335339079525,0.4785793598254618,H22,catboost,sitewise,30,573
0.7656565656565657,0.8057324840764332,0.5966981132075472,0.6856368563685636,0.8063495899726649,0.5198697653738109,H18,catboost,sitewise,30,990
0.7723718505647263,0.623574144486692,0.8367346938775511,0.7145969498910676,0.8604433868409023,0.5478375815596969,H16,catboost,sitewise,30,1151
0.6457142857142857,0.6412213740458015,0.3307086614173228,0.4363636363636363,0.6713586795374428,0.2398297651423111,H15,catboost,sitewise,30,1225
0.6819085487077535,0.7129186602870813,0.5983935742971888,0.6506550218340611,0.7733137273503463,0.3674395633084356,H23,catboost,sitewise,30,503
0.8192488262910798,0.8292682926829268,0.6455696202531646,0.7259786476868327,0.8712214245229549,0.6045984508037255,H26,catboost,sitewise,30,426
