TER_L,MKW,ARCHDAM,SZC,KUD,TOR,KATMOJPRZ,LUMICE,KAL,KLU,LUX_A,AKS,ZOZLO,STG1,GAK,OST,OTW,PRZ,CHE,CMD,MOR,PUS,SL2,SRK,B2K,KIEG,PIO,SLU,WLU,Z04O
3.7076941419744877e-16,4.858739620682416e-16,4.139546143045259e-16,3.601573560142825e-16,3.7785541415946686e-16,3.952541814934042e-16,3.7675422591147315e-16,4.2532901190739663e-16,4.0816055474668657e-16,4.021544674479814e-16,0.0,3.8311672075182887e-16,3.790895871702698e-16,3.948977616936323e-16,3.7277842274917853e-16,3.81333030994688e-16,3.8341475976117816e-16,3.7258259076779024e-16,4.527477542930293e-16,4.418194574154176e-16,4.750950858703349e-16,4.3316063151707355e-16,4.193725046053191e-16,4.226874754458769e-16,3.6352197916526523e-16,4.904957768244431e-16,3.928399742390392e-16,3.9881410566421937e-16,3.87656265295323e-16,3.6232563897542106e-16
3.442669454126713e-16,4.648843096924605e-16,3.960835009360276e-16,3.369874606924629e-16,3.6125587175405607e-16,3.6717094728998894e-16,3.65600275477697e-16,4.127095749774599e-16,3.8897109149694284e-16,3.7628245921443207e-16,3.8311672075182887e-16,0.0,3.647218784632157e-16,3.6989986467869585e-16,3.577328144748525e-16,3.6126481336669234e-16,3.55131504423136e-16,3.4884302378784132e-16,4.270990340993334e-16,4.2265774445374953e-16,4.622918436068782e-16,4.145979774789443e-16,4.029209852809091e-16,4.1455245576795e-16,3.474084027883609e-16,4.781232528727924e-16,3.7208577684753385e-16,3.9033176272468524e-16,3.660397846938726e-16,3.403564771123195e-16
3.392333979653996e-16,4.662099768391973e-16,3.939435977424972e-16,3.3384144804599874e-16,3.479918046382389e-16,3.613111226773636e-16,3.5704383020825527e-16,4.005737665625109e-16,3.714072045497989e-16,3.740029720521239e-16,3.790895871702698e-16,3.647218784632157e-16,0.0,3.6516803171863365e-16,3.4628501783466715e-16,3.5410599510241493e-16,3.513998874272587e-16,3.526841317434932e-16,4.2103530940185617e-16,3.9808636450771105e-16,4.649641494653829e-16,4.102634652776393e-16,3.990028627695602e-16,3.947267964111614e-16,3.3975502598523583e-16,4.766595020578121e-16,3.6921821196534547e-16,3.754665292307983e-16,3.5258558171632446e-16,3.361924242067768e-16
3.486808450004566e-16,4.668392257789855e-16,4.024379082464512e-16,3.486660866339875e-16,3.640465317514061e-16,3.743035447361092e-16,3.65073599519674e-16,4.0850802204763217e-16,3.8716122653182957e-16,3.8649327984858914e-16,3.948977616936323e-16,3.6989986467869585e-16,3.6516803171863365e-16,0.0,3.534241699568099e-16,3.688915347638129e-16,3.6121074421913195e-16,3.5179328831026195e-16,4.401291433375143e-16,4.142355580863112e-16,4.743030279677974e-16,4.1500963998087715e-16,4.010998422158481e-16,4.1193579259240516e-16,3.51306298777817e-16,4.859884193270486e-16,3.763438368740892e-16,3.7628322446118333e-16,3.713531707600495e-16,3.530709614168591e-16
3.1849484986285573e-16,4.533091828486335e-16,3.763959113223162e-16,3.192278739695216e-16,3.3222343398879256e-16,3.484952306305699e-16,3.373388989119714e-16,3.899716652867118e-16,3.7412182150393937e-16,3.5287716048752397e-16,3.7277842274917853e-16,3.577328144748525e-16,3.4628501783466715e-16,3.534241699568099e-16,0.0,3.3785369760836087e-16,3.4376147389428007e-16,3.3106706778001196e-16,4.08741209539765e-16,3.997719514986729e-16,4.573832926626815e-16,4.1149768426237907e-16,3.895070621716066e-16,3.8989427175362964e-16,3.2646387799645125e-16,4.701593151044002e-16,3.569109062412641e-16,3.639684748461669e-16,3.4419784012253544e-16,3.271547306929961e-16
3.3870104861770415e-16,4.479289757274856e-16,3.8665625039230984e-16,3.3653091525772322e-16,3.502923070059268e-16,3.58963327213398e-16,3.4938819330664535e-16,3.971422860992773e-16,3.783173808046023e-16,3.6862527934200106e-16,3.81333030994688e-16,3.6126481336669234e-16,3.5410599510241493e-16,3.688915347638129e-16,3.3785369760836087e-16,0.0,3.5346290817177437e-16,3.5012948286888544e-16,4.2458514951663534e-16,4.111316942521251e-16,4.568673006196339e-16,4.0049208794067737e-16,4.035931594991612e-16,3.9569520861287076e-16,3.378245677659891e-16,4.76036965902413e-16,3.72751930542348e-16,3.734561689568791e-16,3.533583533115423e-16,3.34263599171066e-16
3.3955134150852394e-16,4.457044860903949e-16,3.8738606228077475e-16,3.33786310020562e-16,3.428533158646272e-16,3.5432958566162494e-16,3.5103122854961097e-16,3.9900634743521526e-16,3.769429694019405e-16,3.66336226305209e-16,3.8341475976117816e-16,3.55131504423136e-16,3.513998874272587e-16,3.6121074421913195e-16,3.4376147389428007e-16,3.5346290817177437e-16,0.0,3.392650436604374e-16,4.258676603829871e-16,4.0823726035164797e-16,4.4737855205972e-16,4.1205018785965064e-16,3.9203341919579073e-16,4.0295275502010705e-16,3.344184996662938e-16,4.742422741253266e-16,3.6351574605416806e-16,3.783096045097624e-16,3.651337457225908e-16,3.398197004000773e-16
3.323275016860031e-16,4.499651915385568e-16,3.8139288870584133e-16,3.209220834621919e-16,3.4052619719208587e-16,3.4867475627570344e-16,3.432110105648572e-16,3.8986850274375983e-16,3.7112860222412344e-16,3.699210682577865e-16,3.7258259076779024e-16,3.4884302378784132e-16,3.526841317434932e-16,3.5179328831026195e-16,3.3106706778001196e-16,3.5012948286888544e-16,3.392650436604374e-16,0.0,4.2038650969034616e-16,4.0393807995946587e-16,4.555228169428791e-16,4.0217047500465285e-16,3.9174489014930607e-16,3.9684590564995086e-16,3.2719213252653823e-16,4.764636915529809e-16,3.6758435342129187e-16,3.68553836469889e-16,3.54517848287583e-16,3.2736928733910375e-16
4.1049163232777696e-16,5.113143149631095e-16,4.517653244465372e-16,4.019948096588563e-16,4.135299931586723e-16,4.3487927202169476e-16,4.26123832194506e-16,4.536027285688206e-16,4.3868884140882403e-16,4.3348616751786003e-16,4.527477542930293e-16,4.270990340993334e-16,4.2103530940185617e-16,4.401291433375143e-16,4.08741209539765e-16,4.2458514951663534e-16,4.258676603829871e-16,4.2038650969034616e-16,0.0,4.669383536205772e-16,5.116928750076117e-16,4.721176409456764e-16,4.557879946829153e-16,4.638018048659307e-16,4.1309575861289146e-16,5.322372869212382e-16,4.3621471820598686e-16,4.42668040500994e-16,4.2378590317095305e-16,4.07514476919821e-16
3.9015093142352876e-16,4.976562964052735e-16,4.387236274418257e-16,3.901540688018717e-16,4.032106690777321e-16,4.198674781946197e-16,4.1338819469110586e-16,4.484293007967355e-16,4.2328936657186214e-16,4.2119709324173115e-16,4.418194574154176e-16,4.2265774445374953e-16,3.9808636450771105e-16,4.142355580863112e-16,3.997719514986729e-16,4.111316942521251e-16,4.0823726035164797e-16,4.0393807995946587e-16,4.669383536205772e-16,0.0,4.888675794808583e-16,4.497451864533768e-16,4.486200612057382e-16,4.49658586317001e-16,3.98501804417912e-16,5.18070248552888e-16,4.1558647345829295e-16,4.184504581224335e-16,4.1245984464306596e-16,3.888443558848479e-16
