accuracy,precision,recall,f1-score,auc,mcc,hospital,method,n_calib,n_test
0.7334531296795448,0.47104851330203446,0.7377450980392157,0.5749761222540593,0.8199782588421813,0.4153570926402585,KATMOJPRZ,sitewise,30,3339
0.7707317073170732,0.8,0.832,0.8156862745098039,0.8364,0.513458859111419,KIEG,sitewise,30,205
0.7084398976982097,0.7825520833333334,0.6752808988764045,0.7249698431845597,0.7822091821424999,0.42347760368669074,KLU,sitewise,30,1564
0.7464342313787639,0.7363013698630136,0.7214765100671141,0.7288135593220338,0.8270955519277667,0.490854067295484,KUD,sitewise,30,631
0.6466512702078522,0.48484848484848486,0.8827586206896552,0.6259168704156479,0.8502155172413792,0.39717929198223145,LUMICE,sitewise,30,433
0.7648502700049091,0.7483069977426636,0.721436343852013,0.7346260387811634,0.831997329289634,0.5239286979011802,LUX_A,sitewise,30,2037
0.7514910536779325,0.8301158301158301,0.7263513513513513,0.7747747747747747,0.8265928972450711,0.5059093383024126,MKW,sitewise,30,503
0.7462121212121212,0.815,0.844559585492228,0.8295165394402035,0.7938407647960299,0.33464700152789884,MOR,sitewise,30,264
0.7504553734061931,0.6417391304347826,0.8443935926773455,0.7292490118577075,0.8713481065025255,0.5221264787038572,OST,sitewise,30,1098
0.7830303030303031,0.7097242380261248,0.7557959814528593,0.7320359281437125,0.8571734564467339,0.5508253079501765,OTW,sitewise,30,1650
0.3673469387755102,0.9705882352941176,0.34167385677308026,0.5054243777919591,0.5625408528773499,0.07657740311120609,PIO,sitewise,30,1225
0.6938131313131313,0.6140684410646388,0.8910344827586207,0.727068092290377,0.8382899120870299,0.44135204308430426,PRZ,sitewise,30,1584
0.7458563535911602,0.8045454545454546,0.7831858407079646,0.7937219730941704,0.8421069755335763,0.46322688316293364,PUS,sitewise,30,362
0.7214285714285714,0.7530864197530864,0.7625,0.7577639751552795,0.8112499999999999,0.43010856046828544,SL2,sitewise,30,140
0.7253489419180549,0.8780327868852459,0.7595008508224617,0.8144768856447688,0.7548392849623633,0.3082267366117763,SLU,sitewise,30,2221
0.7587628865979381,0.6336206896551724,0.8212290502793296,0.7153284671532847,0.8418410194617884,0.5249809998793488,SRK,sitewise,30,485
0.7424873875849967,0.8935275080906149,0.7656683305601775,0.8246714456391876,0.7940726630851345,0.3658272213601819,STG1,sitewise,30,4559
0.7250287026406429,0.6276713338246132,0.7997652582159624,0.7033443435177539,0.8267176866106197,0.4655669180630205,SZC,sitewise,30,10452
0.6313131313131313,0.4773662551440329,0.6763848396501457,0.5597104945717732,0.6885783679777939,0.27013685809935795,TER_L,sitewise,30,990
0.6634408602150538,0.39478957915831664,0.9471153846153846,0.5572842998585573,0.9068559556786703,0.44190587130589637,TOR,sitewise,30,930
0.6750325945241199,0.8853801169590644,0.6539956803455723,0.7522981366459627,0.7502671818127059,0.3411099113706196,WLU,sitewise,30,3068
0.6814958091553837,0.8294339622641509,0.5905427189682966,0.6898932831136221,0.7752661722164225,0.40450758832186823,Z04O,sitewise,30,3102
0.8305821025195482,0.872278664731495,0.8488700564971752,0.8604151753758053,0.906620244608537,0.6454330420667632,ZOZLO,sitewise,30,1151
0.8041074249605056,0.9163265306122449,0.8439849624060151,0.8786692759295499,0.8370198392019653,0.383591120622443,AKS,combat,30,1266
0.752530199151159,0.5220729366602687,0.6766169154228856,0.5893824485373781,0.7891303773298184,0.4236346291957,ARCHDAM,combat,30,3063
0.7201516108654453,0.45161290322580644,0.8388814913448736,0.587138863000932,0.8436078327585305,0.44734774091187857,B2K,combat,30,3166
0.5105421686746988,0.966996699669967,0.4819078947368421,0.6432491767288694,0.7489426691729323,0.16923707511550648,CHE,combat,30,664
0.7887323943661971,0.6545454545454545,0.7659574468085106,0.7058823529411765,0.8542490979221102,0.5467056211275279,CMD,combat,30,426
0.6143695014662757,0.9672678690714763,0.5907792737658099,0.7335359675785208,0.7722317716043108,0.25121768920505283,GAK,combat,30,2728
0.6352530541012217,0.47604790419161674,0.8238341968911918,0.603415559772296,0.7942732478865557,0.34823553670694146,KAL,combat,30,573
0.7379454926624738,0.47641886490807356,0.7303921568627451,0.5766811804547654,0.820926398700582,0.417953864639729,KATMOJPRZ,combat,30,3339
0.7804878048780488,0.8076923076923077,0.84,0.8235294117647058,0.8460000000000001,0.5342200161366341,KIEG,combat,30,205
0.7020460358056266,0.8099415204678363,0.6224719101123596,0.7039390088945362,0.7836728569999666,0.4288578252005637,KLU,combat,30,1564
0.7480190174326465,0.7704280155642024,0.6644295302013423,0.7135135135135136,0.8266723098937865,0.4950873514900656,KUD,combat,30,631
0.674364896073903,0.508,0.8758620689655172,0.6430379746835443,0.8625,0.42876266976408955,LUMICE,combat,30,433
0.7628865979381443,0.7488584474885844,0.7138193688792165,0.7309192200557103,0.8361523083541456,0.5196777673009817,LUX_A,combat,30,2037
0.7475149105367793,0.8565400843881856,0.6858108108108109,0.7617260787992496,0.8321256038647342,0.5141856866901724,MKW,combat,30,503
0.7386363636363636,0.8690476190476191,0.7564766839378239,0.8088642659279779,0.8112092242574619,0.41167390205427584,MOR,combat,30,264
0.773224043715847,0.6747211895910781,0.8306636155606407,0.7446153846153846,0.8795528583347468,0.5541229652608403,OST,combat,30,1098
0.7981818181818182,0.7329376854599406,0.7635239567233385,0.7479182437547313,0.8674286260230128,0.5801054625311486,OTW,combat,30,1650
0.3616326530612245,0.9654320987654321,0.3373597929249353,0.5,0.5439380866473187,0.06010593889703889,PIO,combat,30,1225
0.7095959595959596,0.6300294406280668,0.8855172413793103,0.7362385321100917,0.8422335514431376,0.4645225989935,PRZ,combat,30,1584
0.7624309392265194,0.8365384615384616,0.7699115044247787,0.8018433179723502,0.8548282144716294,0.509285220761449,PUS,combat,30,362
0.7428571428571429,0.7972972972972973,0.7375,0.7662337662337663,0.8170833333333334,0.4832895571691945,SL2,combat,30,140
0.7113912651958577,0.8956276445698167,0.7203630175836642,0.7984910405532851,0.7735202253007601,0.33449753790943526,SLU,combat,30,2221
0.7896907216494845,0.6859903381642513,0.7932960893854749,0.7357512953367875,0.8458392668054187,0.5667146355294517,SRK,combat,30,485
0.7152884404474665,0.9136200716845878,0.70687742651137,0.7970606629143214,0.7925254574543186,0.3788273309843628,STG1,combat,30,4559
0.7376578645235362,0.6478379431242696,0.7807511737089202,0.708111560570577,0.8308890162681516,0.48041346607615154,SZC,combat,30,10452
0.6262626262626263,0.47216494845360824,0.6676384839650146,0.5531400966183575,0.6794850419743963,0.258879401290831,TER_L,combat,30,990
0.6827956989247311,0.4088050314465409,0.9375,0.5693430656934306,0.9055175261027062,0.45594705728233026,TOR,combat,30,930
0.6558018252933507,0.897160883280757,0.614254859611231,0.7292307692307692,0.7587877431956838,0.3425616922779582,WLU,combat,30,3068
0.6827852998065764,0.8279730740463724,0.5948414830736163,0.6923076923076923,0.7804053776118737,0.40511882892509254,Z04O,combat,30,3102
0.8392701998262381,0.8741058655221745,0.8629943502824858,0.8685145700071073,0.9131563173534327,0.6619219915640422,ZOZLO,combat,30,1151
0.8096366508688784,0.9144008056394763,0.8533834586466166,0.8828390860476422,0.8317948336187002,0.3851841532390277,AKS,neurocombat,30,1266
0.7518772445315051,0.5211946050096339,0.6728855721393034,0.5874049945711184,0.786172061340046,0.4209736806285561,ARCHDAM,neurocombat,30,3063
0.7087807959570436,0.44041811846689893,0.8415446071904128,0.5782250686184812,0.8396798747287949,0.43496616601184374,B2K,neurocombat,30,3166
0.5105421686746988,0.9639344262295082,0.48355263157894735,0.6440306681270537,0.7449483082706766,0.16010992194335946,CHE,neurocombat,30,664
0.7769953051643192,0.6306818181818182,0.7872340425531915,0.7003154574132492,0.8541744432001991,0.5343732967876089,CMD,neurocombat,30,426
0.593841642228739,0.9653499653499653,0.5683394532843737,0.7154596815613765,0.7761128957899746,0.23467819157863176,GAK,neurocombat,30,2728
0.6457242582897034,0.4847560975609756,0.8238341968911918,0.6103646833013435,0.7965775838560131,0.36216063490429273,KAL,neurocombat,30,573
