accuracy,precision,recall,f1-score,auc,mcc,hospital,model,method,n_calib,n_test,tag
0.593475073313783,0.9602194787379973,0.5711954304365565,0.7162957278076234,0.7499981588594944,0.21908389935305808,H27,catboost,raw,30,2728,oldlabels
0.6352530541012217,0.47674418604651164,0.8497409326424871,0.6108007448789572,0.7861603490591764,0.3628497653554333,H28,catboost,raw,30,573,oldlabels
0.6181818181818182,0.4667931688804554,0.717201166180758,0.5655172413793104,0.7280023071273111,0.269785988217394,H29,catboost,raw,30,990,oldlabels
0.8227628149435273,0.8405405405405405,0.8785310734463276,0.8591160220994475,0.9052588284806979,0.6216565155408755,H3,catboost,raw,30,1151,oldlabels
0.4816326530612245,0.9395973154362416,0.4831751509922347,0.6381766381766382,0.4732266582999974,-0.02813258336373526,H30,catboost,raw,30,1225,oldlabels
0.706766917293233,0.7076923076923077,0.8679245283018868,0.7796610169491526,0.7976253453241638,0.3715920727623398,H4,catboost,raw,30,266,oldlabels
0.8004694835680751,0.7592592592592593,0.5815602836879432,0.6586345381526104,0.8637800174194351,0.5303920120426877,H5,catboost,raw,30,426,oldlabels
0.7457044673539519,0.7600518806744487,0.6376496191512514,0.693491124260355,0.8249682220504905,0.48443790591120495,H6,catboost,raw,30,2037,oldlabels
0.4799566630552546,0.2968980797636632,0.9804878048780488,0.4557823129251701,0.8910931449147359,0.2985170104801805,H7,catboost,raw,30,923,oldlabels
0.7381818181818182,0.6427622841965471,0.7480680061823802,0.6914285714285714,0.8275883323753623,0.4703648322986917,H8,catboost,raw,30,1650,oldlabels
0.7975206611570248,0.7368421052631579,0.7039106145251397,0.72,0.8553347376133347,0.5619137087074227,H9,catboost,raw,30,484,oldlabels
0.7852193995381063,0.5684931506849316,0.7345132743362832,0.640926640926641,0.8525995575221239,0.49944424488957884,H1,catboost,raw,30,433,newlabels
0.7433027171833142,0.5845986984815619,0.6519504082249773,0.6164403145103645,0.8005805697057137,0.4258272921258951,H10,catboost,raw,30,10452,newlabels
0.7983425414364641,0.725,0.8,0.760655737704918,0.8636580327347847,0.5892823856024317,H11,catboost,raw,30,362,newlabels
0.7616,0.9164619164619164,0.764344262295082,0.8335195530726257,0.8285344621275579,0.44806057153270484,H12,catboost,raw,30,1250,newlabels
0.7574257425742574,0.7857142857142857,0.7333333333333333,0.7586206896551724,0.8279823269513992,0.5166609717426554,H13,catboost,raw,30,202,newlabels
0.8130132659507264,0.606418918918919,0.5,0.5480916030534351,0.7966846905893276,0.4347754819945207,H14,catboost,raw,30,3166,newlabels
0.8233757753836108,0.697986577181208,0.6220095693779905,0.6578115117014548,0.8550246754167535,0.5409371025177929,H15,catboost,raw,30,3063,newlabels
0.7562144354597184,0.30096051227321235,0.6394557823129252,0.409288824383164,0.7775813799179667,0.3115461653929651,H16,catboost,raw,30,3339,newlabels
0.7737041719342604,0.5988142292490118,0.6615720524017468,0.6286307053941909,0.8265687889477692,0.46768112596257205,H17,catboost,raw,30,1582,newlabels
0.6364864864864865,0.907608695652174,0.5869947275922671,0.7129135538954109,0.775002826339428,0.3272460549866477,H18,catboost,raw,30,2220,newlabels
0.6818181818181818,0.584,0.6952380952380952,0.6347826086956522,0.7594489368074273,0.3609172127546215,H19,catboost,raw,30,264,newlabels
0.7704918032786885,0.6055045871559633,0.7674418604651163,0.676923076923077,0.8554530874097834,0.5112617796997666,H2,catboost,raw,30,1098,newlabels
0.7638668779714739,0.6337209302325582,0.558974358974359,0.5940054495912807,0.790519877675841,0.430122794872672,H20,catboost,raw,30,631,newlabels
0.6857142857142857,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.7691666666666667,0.35833333333333334,H21,catboost,raw,30,140,newlabels
0.7346872985170857,0.6372646184340932,0.5845454545454546,0.6097676623992413,0.7869394242121516,0.4102329860768313,H22,catboost,raw,30,3102,newlabels
0.47289156626506024,0.9067357512953368,0.34516765285996054,0.5,0.7165542280681918,0.21570960657337573,H23,catboost,raw,30,664,newlabels
0.6172161172161172,0.867080745341615,0.42665036674816625,0.5718967636214666,0.752014768262539,0.35340860948022806,H24,catboost,raw,30,2730,newlabels
