accuracy,precision,recall,f1-score,auc,mcc,hospital,model,method,n_calib,n_test,tag
0.7387878787878788,0.6443850267379679,0.7449768160741885,0.6910394265232975,0.828449735800327,0.4705262164750177,H8,catboost,raw,30,1650,manual_no_scaler
0.7670103092783506,0.6875,0.6759776536312849,0.6816901408450704,0.8492350385219265,0.4980152344912313,H9,catboost,raw,30,485,manual_no_scaler
0.6327944572748267,0.4742647058823529,0.8896551724137931,0.6187050359712231,0.8449712643678161,0.38389827719557307,H1,catboost,sitewise,30,433,catboost_no_scaler
0.7210103329506314,0.625232948192322,0.7875586854460094,0.6970704342405983,0.8180806143926436,0.45497321752892744,H10,catboost,sitewise,30,10452,catboost_no_scaler
0.7403314917127072,0.8055555555555556,0.7699115044247787,0.7873303167420814,0.8331272774596564,0.45520200513991355,H11,catboost,sitewise,30,362,catboost_no_scaler
0.8191153238546603,0.9129574678536103,0.8674812030075187,0.8896385542168674,0.8328510012655401,0.3942950483416759,H12,catboost,sitewise,30,1266,catboost_no_scaler
0.7853658536585366,0.8188976377952756,0.832,0.8253968253968254,0.8369,0.5470773345089099,H13,catboost,sitewise,30,205,catboost_no_scaler
0.6999368288060644,0.4331766286098052,0.8588548601864181,0.5758928571428571,0.8435411170199568,0.4341103247398923,H14,catboost,sitewise,30,3166,catboost_no_scaler
0.7499183806725432,0.5191146881287726,0.6417910447761194,0.5739710789766407,0.7810372660821612,0.4042742072249487,H15,catboost,sitewise,30,3063,catboost_no_scaler
0.737047020065888,0.4754358161648177,0.7352941176470589,0.5774783445620789,0.8171722117305106,0.4191143235356363,H16,catboost,sitewise,30,3339,catboost_no_scaler
0.6881313131313131,0.609895337773549,0.8841379310344828,0.7218468468468469,0.8324418931395768,0.42896605769226853,H17,catboost,sitewise,30,1584,catboost_no_scaler
0.7194957226474561,0.8840970350404312,0.7441860465116279,0.8081305820757623,0.7566499144223696,0.31674581673878,H18,catboost,sitewise,30,2221,catboost_no_scaler
0.75,0.8223350253807107,0.8393782383419689,0.8307692307692308,0.7831861636138073,0.35297251421771475,H19,catboost,sitewise,30,264,catboost_no_scaler
0.7577413479052824,0.6563071297989032,0.8215102974828375,0.7296747967479674,0.8656082421405747,0.5258008384707217,H2,catboost,sitewise,30,1098,catboost_no_scaler
0.7464342313787639,0.7269736842105263,0.7416107382550335,0.7342192691029901,0.8227522824838261,0.49193039482469697,H20,catboost,sitewise,30,631,catboost_no_scaler
